랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
88,전북,진안군,0.43448275862068964,43.45,715000.0,715000.0,0.1310344827586207,0.07241379310344828,0.4379310344827586,0.596551724137931,0.4,26.53,0.04827586206896552,0.896551724137931,38.76,0.7310344827586207,0.3310344827586207,65.1,59.24,44.247
89,경북,고령군,0.7586206896551724,75.86,2520300.0,2520300.0,0.07586206896551724,0.6517241379310345,0.4,0.596551724137931,0.41379310344827586,39.34,0.006896551724137931,0.39655172413793105,16.28,0.22758620689655173,0.11724137931034483,20.55,45.22,44.047
90,경북,안동시,0.32413793103448274,32.41,392675.0,392675.0,0.21379310344827587,0.3,0.14482758620689656,0.596551724137931,0.296551724137931,27.83,0.33793103448275863,0.6793103448275862,47.45,0.8689655172413793,0.16551724137931034,72.83,61.15,44.023
91,경북,성주군,0.593103448275862,59.31,1364250.0,1364250.0,0.1103448275862069,0.4517241379310345,0.33448275862068966,0.596551724137931,0.2,31.3,0.506896551724138,0.36551724137931035,45.03,0.30344827586206896,0.07586206896551724,25.79,54.14,43.892
92,경남,함안군,0.6551724137931034,65.52,1640275.0,1640275.0,0.06206896551724138,0.5,0.506896551724138,0.596551724137931,0.5793103448275863,39.11,0.06896551724137931,0.23793103448275862,13.66,0.46206896551724136,0.23448275862068965,41.66,29.94,43.312
93,경남,거창군,0.41379310344827586,41.38,686375.0,686375.0,0.2413793103448276,0.696551724137931,0.1310344827586207,0.596551724137931,0.4206896551724138,40.18,0.15862068965517243,0.8344827586206897,42.9,0.5172413793103449,0.2482758620689655,46.34,56.05,43.169
94,부산,동래구,0.2827586206896552,28.28,60900.0,60900.0,0.8620689655172413,0.9379310344827586,0.8862068965517241,0.596551724137931,0.9620689655172414,86.68,0.8655172413793103,0.10689655172413794,56.21,0.041379310344827586,0.8206896551724138,19.72,14.01,43.119
95,경북,영덕군,0.3724137931034483,37.24,527650.0,527650.0,0.5172413793103449,0.05517241379310345,0.5413793103448276,0.04827586206896552,0.06896551724137931,29.19,0.5379310344827586,0.6068965517241379,56.55,0.6137931034482759,0.1793103448275862,52.69,43.31,42.886
96,부산,해운대구,0.1310344827586207,13.1,0.0,0.0,0.903448275862069,0.6275862068965518,0.8137931034482758,0.04827586206896552,0.8689655172413793,70.7,0.8655172413793103,0.10689655172413794,56.21,0.5655172413793104,0.8137931034482758,61.52,10.19,42.781
97,경북,문경시,0.3931034482758621,39.31,651000.0,651000.0,0.05517241379310345,0.3413793103448276,0.0896551724137931,0.596551724137931,0.31724137931034485,23.29,0.22758620689655173,0.903448275862069,49.79,0.5862068965517241,0.2620689655172414,52.14,77.71,42.688
98,강원,속초시,0.5793103448275863,57.93,1222500.0,1222500.0,0.9758620689655172,0.36551724137931035,0.41379310344827586,0.04827586206896552,0.9620689655172414,59.18,0.3448275862068966,0.034482758620689655,22.07,0.10344827586206896,0.2,12.28,71.97,42.579
99,경남,함양군,0.4689655172413793,46.9,845500.0,845500.0,0.30344827586206896,0.4103448275862069,0.06896551724137931,0.596551724137931,0.2689655172413793,31.54,0.496551724137931,0.7,57.79,0.2827586206896552,0.2206896551724138,27.03,49.68,42.171
100,대구,군위군,0.31724137931034485,31.72,381375.0,381375.0,0.2482758620689655,0.9379310344827586,0.5586206896551724,0.596551724137931,0.07586206896551724,51.08,0.6,0.2689655172413793,46.76,0.5241379310344828,0.05517241379310345,43.03,56.69,42.112
